month_start,product,hs_code,category,state,port,country,qty_tonnes,value_inr_lakh,unit_value_inr_kg
01-05-2026,Natural Honey,4090000,Natural Honey,Punjab,"ICD SAHNEWAL, GRFL Punjab",Kenya,13.77,18.09,131.372549
01-05-2026,Natural Honey,4090000,Natural Honey,Tamil Nadu,KATTUPALLI PORT/ TIRUVALLUR SEA,Singapore,0.608,2.93,481.9078947
01-05-2026,Natural Honey,4090000,Natural Honey,Haryana,KRIBHO INFRA LTD.ICD (HARYANA),Malaysia,0.045,0.17,377.7777778
01-05-2026,Natural Honey,4090000,Natural Honey,Maharashtra,NHAVA SHEVA SEA,Iraq,1,4.29,429
01-05-2026,Natural Honey,4090000,Natural Honey,Kerala,COCHIN SEA,United States,0.01,0.17,1700
01-05-2026,Natural Honey,4090000,Natural Honey,Punjab,PLIL ICD,United States,1388.4,2114.94,152.3292999
01-05-2026,Natural Honey,4090000,Natural Honey,Rajasthan,ICD DHANAKYA JAIPUR RAJASTHAN,United States,463.8,609.85,131.4898663
01-05-2026,Natural Honey,4090000,Natural Honey,Delhi,DELHI AIRPORT,Singapore,0.002,0.7,35000
01-05-2026,Natural Honey,4090000,Natural Honey,Gujarat,AHMEDABAD AIR CARGO COMPLEX,United States,0.566,3.22,568.9045936
01-05-2026,Natural Honey,4090000,Natural Honey,Gujarat,MUNDRA SEA,Australia,0.188,0.77,409.5744681
01-05-2026,Natural Honey,4090000,Natural Honey,Gujarat,MUNDRA SEA,Tanzania,0.05,0.16,320
01-05-2026,Natural Honey,4090000,Natural Honey,Delhi,ICD CFS PATPARGANJ,Nigeria,1.5,3,200
01-05-2026,Natural Honey,4090000,Natural Honey,Tamil Nadu,CHENNAI SEA,United Arab Emirates,0,0.05,
01-05-2026,Natural Honey,4090000,Natural Honey,Uttar Pradesh,ICD CGML DADRI,Algeria,4,20.63,515.75
01-05-2026,Natural Honey,4090000,Natural Honey,Uttar Pradesh,ICD CGML DADRI,Saudi Arabia,0.15,0.71,473.3333333
01-05-2026,Natural Honey,4090000,Natural Honey,Uttar Pradesh,ICD CFS STARTRACK DADRI,United States,389.11,538.33,138.349053
01-05-2026,Natural Honey,4090000,Natural Honey,Uttar Pradesh,ICD CFS STARTRACK DADRI,Mauritius,19.491,49.83,255.6564568
01-05-2026,Natural Honey,4090000,Natural Honey,Uttar Pradesh,ICD CFS STARTRACK DADRI,United Arab Emirates,337.08,443.6,131.6008069
01-05-2026,Natural Honey,4090000,Natural Honey,Tamil Nadu,CHENNAI AIR,Malaysia,0.211,1.11,526.0663507
01-05-2026,Natural Honey,4090000,Natural Honey,Punjab,HTPL KILARAIPUR ICD,United States,94.5,123.03,130.1904762
01-05-2026,Natural Honey,4090000,Natural Honey,Delhi,DELHI (ICD),United States,0.02,0.07,350
01-05-2026,Natural Honey,4090000,Natural Honey,Delhi,DELHI (ICD),Philippines,0.25,0.86,344
01-05-2026,Natural Honey,4090000,Natural Honey,Punjab,ICD CHOWPAYAL Punjab,Libya,156.45,224.15,143.2726111
01-05-2026,Natural Honey,4090000,Natural Honey,Punjab,ICD CHOWPAYAL Punjab,United States,2238.094,3437.66,153.5976594
01-05-2026,Natural Honey,4090000,Natural Honey,Tamil Nadu,TUTICORIN SEA,Morocco,25.41,34.84,137.1113735
01-05-2026,Natural Honey,4090000,Natural Honey,Sikkim,CHAMURCHI ROAD/ RAILWAY,Bhutan,0.086,0.16,186.0465116
01-05-2026,Natural Honey,4090000,Natural Honey,Maharashtra,NHAVA SHEVA SEA,Tanzania,0.302,1.26,417.218543
01-05-2026,Natural Honey,4090000,Natural Honey,Maharashtra,NHAVA SHEVA SEA,United States,0.999,7.94,794.7947948
01-05-2026,Natural Honey,4090000,Natural Honey,Rajasthan,ICD KANAKPURA,United States,771,1003.96,130.2153048
01-05-2026,Natural Honey,4090000,Natural Honey,Punjab,ICD LUDHIANA,"Korea, South",2.76,5.05,182.9710145
01-05-2026,Natural Honey,4090000,Natural Honey,Punjab,ICD LUDHIANA,Sri Lanka,5.1,8.24,161.5686275
01-05-2026,Natural Honey,4090000,Natural Honey,Punjab,ICD LUDHIANA,Portugal,52.8,76.51,144.905303
01-05-2026,Natural Honey,4090000,Natural Honey,Punjab,ICD LUDHIANA,United States,322.496,453.57,140.6436049
01-05-2026,Natural Honey,4090000,Natural Honey,Uttar Pradesh,ICD MODINAGAR ICD,Australia,12.768,17.85,139.8026316
01-05-2026,Natural Honey,4090000,Natural Honey,Uttar Pradesh,ICD MODINAGAR ICD,United States,399.54,607.98,152.1699955
01-05-2026,Natural Honey,4090000,Natural Honey,Maharashtra,NHAVA SHEVA SEA,Liberia,0.06,0.37,616.6666667
01-05-2026,Natural Honey,4090000,Natural Honey,Uttar Pradesh,ICD NOIDA-DADRI,United States,461.91,601.54,130.2288325
01-05-2026,Natural Honey,4090000,Natural Honey,Haryana,"ICD PALWAL, BHAGOLA-JANAULI Haryana",Canada,96.5,144.13,149.357513
01-05-2026,Natural Honey,4090000,Natural Honey,Haryana,"ICD PALWAL, BHAGOLA-JANAULI Haryana",United States,2713.755,4003.85,147.5391109
01-05-2026,Natural Honey,4090000,Natural Honey,Maharashtra,NHAVA SHEVA SEA,Malaysia,0.1,0.32,320
01-05-2026,Natural Honey,4090000,Natural Honey,Haryana,ICD PATLI,Saudi Arabia,18.032,26.94,149.4010648
01-05-2026,Natural Honey,4090000,Natural Honey,West Bengal,KOTWALIGATE (MOHEDIPUR) ROAD/ RAILWAY,Bangladesh,30,57.94,193.1333333
01-05-2026,Natural Honey,4090000,Natural Honey,Punjab,"ICD SAHNEWAL, GRFL Punjab",Somalia,17.069,22.72,133.1068018
01-05-2026,Natural Honey,4090000,Natural Honey,Haryana,ICD SAMALKHA PANIPAT Haryana,Oman,24,49.53,206.375
01-05-2026,Natural Honey,4090000,Natural Honey,Haryana,ICD SAMALKHA PANIPAT Haryana,Saudi Arabia,287.676,578.98,201.261141
01-05-2026,Natural Honey,4090000,Natural Honey,West Bengal,JAIGAON ICD,Bhutan,3.156,9.29,294.3599493
01-05-2026,Natural Honey,4090000,Natural Honey,Haryana,ICD SONIPAT ICD,United States,2515.898,3423.21,136.0631472
01-05-2026,Natural Honey,4090000,Natural Honey,Gujarat,ICD THAR DRY PORT,Baharain,2.7,4.87,180.3703704
01-05-2026,Natural Honey,4090000,Natural Honey,Haryana,ICD SAMALKHA PANIPAT Haryana,Netherlands,43.5,59.75,137.3563218
01-05-2026,Natural Honey,4090000,Natural Honey,Haryana,ICD SONIPAT ICD,United Arab Emirates,11.04,14.77,133.7862319
01-05-2026,Natural Honey,4090000,Natural Honey,Haryana,ICD SAMALKHA PANIPAT Haryana,United Kingdom,44.08,67.93,154.1061706
01-05-2026,Natural Honey,4090000,Natural Honey,Tamil Nadu,ICD TONDIAR-PET CHENNAI,Papua New Guinea,0.003,0.01,333.3333333
01-05-2026,Natural Honey,4090000,Natural Honey,Punjab,"ICD SAHNEWAL, GRFL Punjab",Qatar,14.88,19.47,130.8467742
01-05-2026,Natural Honey,4090000,Natural Honey,Punjab,"ICD SAHNEWAL, GRFL Punjab",Australia,13.08,18.47,141.2079511
01-05-2026,Natural Honey,4090000,Natural Honey,Haryana,ICD SONIPAT ICD,Nigeria,32.279,65.57,203.1351653
01-05-2026,Natural Honey,4090000,Natural Honey,Gujarat,ICD SABARMATI,United States,0.331,2.37,716.0120846
01-05-2026,Natural Honey,4090000,Natural Honey,Haryana,ICD SONIPAT ICD,Libya,91.504,119.13,130.1910299
01-05-2026,Natural Honey,4090000,Natural Honey,Punjab,"ICD SAHNEWAL, GRFL Punjab",Canada,26.208,36.12,137.8205128
01-05-2026,Natural Honey,4090000,Natural Honey,Punjab,ICD CHOWPAYAL Punjab,Japan,30,91.6,305.3333333
01-05-2026,Natural Honey,4090000,Natural Honey,Punjab,PLIL ICD,United Arab Emirates,79.2,105.79,133.5732323
01-05-2026,Natural Honey,4090000,Natural Honey,Punjab,PLIL ICD,Nigeria,14.497,34.35,236.9455749
01-05-2026,Natural Honey,4090000,Natural Honey,Gujarat,MUNDRA SEA,Saudi Arabia,18.232,34.4,188.6792453
01-05-2026,Natural Honey,4090000,Natural Honey,Uttar Pradesh,ICD CFS STARTRACK DADRI,Saudi Arabia,312.09,421.98,135.2109968
01-05-2026,Natural Honey,4090000,Natural Honey,Uttar Pradesh,ICD CGML DADRI,Mauritius,0.072,0.34,472.2222222
01-05-2026,Natural Honey,4090000,Natural Honey,Maharashtra,NHAVA SHEVA SEA,Australia,0.095,0.39,410.5263158
01-05-2026,Natural Honey,4090000,Natural Honey,Tamil Nadu,TUTICORIN SEA,Singapore,0.071,0.4,563.3802817
01-05-2026,Natural Honey,4090000,Natural Honey,Haryana,KRIBHO INFRA LTD.ICD (HARYANA),Australia,0.48,2.26,470.8333333
01-05-2026,Natural Honey,4090000,Natural Honey,Gujarat,MUNDRA SEA,Oman,30.59,42.83,140.0130762
01-05-2026,Natural Honey,4090000,Natural Honey,Delhi,DELHI AIRPORT,Vietnam,0.001,0.02,2000
01-05-2026,Natural Honey,4090000,Natural Honey,Punjab,HTPL KILARAIPUR ICD,Qatar,2.394,5.59,233.5004177
01-05-2026,Natural Honey,4090000,Natural Honey,Tamil Nadu,CHENNAI SEA,Tanzania,0.035,0.11,314.2857143
01-05-2026,Natural Honey,4090000,Natural Honey,Uttar Pradesh,ICD CFS STARTRACK DADRI,Bahamas,12.304,39.24,318.9206762
01-05-2026,Natural Honey,4090000,Natural Honey,Tamil Nadu,TUTICORIN SEA,United Arab Emirates,0.06,0.22,366.6666667
01-05-2026,Natural Honey,4090000,Natural Honey,Tamil Nadu,TUTICORIN SEA,Maldives,1.997,5.9,295.4431647
01-05-2026,Natural Honey,4090000,Natural Honey,Delhi,DELHI AIRPORT,Maldives,0.1,0.8,800
01-05-2026,Natural Honey,4090000,Natural Honey,Punjab,PLIL ICD,Cote D Ivoire,3.229,6.04,187.0548157
01-05-2026,Natural Honey,4090000,Natural Honey,Delhi,DELHI (ICD),Saudi Arabia,96,201.02,209.3958333
01-05-2026,Natural Honey,4090000,Natural Honey,Delhi,DELHI (ICD),Germany,0.03,0.11,366.6666667
01-05-2026,Natural Honey,4090000,Natural Honey,Punjab,PLIL ICD,Oman,17.323,47.45,273.9132945
01-05-2026,Natural Honey,4090000,Natural Honey,Delhi,DELHI (ICD),Australia,0.12,0.55,458.3333333
01-05-2026,Natural Honey,4090000,Natural Honey,Maharashtra,NHAVA SHEVA SEA,United Arab Emirates,1.638,6.37,388.8888889
01-05-2026,Natural Honey,4090000,Natural Honey,Maharashtra,NHAVA SHEVA SEA,Hong Kong (HK),0.315,1.57,498.4126984
01-05-2026,Natural Honey,4090000,Natural Honey,West Bengal,PETRAPOLE LAND ROAD/ RAILWAY,Bangladesh,217.42,311.01,143.045718
01-05-2026,Natural Honey,4090000,Natural Honey,Gujarat,MUNDRA SEA,United Arab Emirates,48.24,49.97,103.5862355
01-05-2026,Natural Honey,4090000,Natural Honey,Maharashtra,NHAVA SHEVA SEA,Kenya,0.07,0.29,414.2857143
01-05-2026,Natural Honey,4090000,Natural Honey,Maharashtra,MUMBAI AIR,Grenada,0.173,0.32,184.9710983
01-05-2026,Natural Honey,4090000,Natural Honey,West Bengal,NEPALGANJ  ROAD/ RAILWAY,Nepal,9.996,13.49,134.9539816
01-05-2026,Natural Honey,4090000,Natural Honey,Tamil Nadu,CHENNAI SEA,Malaysia,1.707,20.16,1181.019332
01-05-2026,Natural Honey,4090000,Natural Honey,Maharashtra,NHAVA SHEVA SEA,Cambodia,0.012,0.08,666.6666667
01-05-2026,Natural Honey,4090000,Natural Honey,Punjab,ICD CHOWPAYAL Punjab,Oman,18.6,24.83,133.4946237
01-05-2026,Natural Honey,4090000,Natural Honey,Punjab,ICD CHOWPAYAL Punjab,United Kingdom,43.2,68.31,158.125
01-05-2026,Natural Honey,4090000,Natural Honey,Punjab,ICD CHOWPAYAL Punjab,Morocco,101.64,158.91,156.3459268
01-05-2026,Natural Honey,4090000,Natural Honey,Punjab,ICD CHOWPAYAL Punjab,"Korea, South",4.3,6.8,158.1395349
01-05-2026,Natural Honey,4090000,Natural Honey,Punjab,ICD CHOWPAYAL Punjab,Australia,27.143,47.86,176.3253878
01-05-2026,Natural Honey,4090000,Natural Honey,Maharashtra,NHAVA SHEVA SEA,Singapore,0.004,0.02,500
01-05-2026,Natural Honey,4090000,Natural Honey,Uttar Pradesh,ICD LONI,United Arab Emirates,0.6,4.16,693.3333333
01-05-2026,Natural Honey,4090000,Natural Honey,Punjab,ICD LUDHIANA,Belgium,23.647,58.03,245.401108
01-05-2026,Natural Honey,4090000,Natural Honey,Punjab,ICD LUDHIANA,Canada,10.682,14.35,134.3381389
01-05-2026,Natural Honey,4090000,Natural Honey,Punjab,ICD LUDHIANA,Saudi Arabia,166.338,320.63,192.758119
01-05-2026,Natural Honey,4090000,Natural Honey,Punjab,ICD LUDHIANA,Qatar,7.656,16.52,215.7784744
01-05-2026,Natural Honey,4090000,Natural Honey,Punjab,ICD LUDHIANA,United Arab Emirates,7.282,28.33,389.0414721
01-05-2026,Natural Honey,4090000,Natural Honey,Uttar Pradesh,ICD NOIDA-DADRI,Hong Kong (HK),0.134,0.57,425.3731343
01-05-2026,Natural Honey,4090000,Natural Honey,Uttar Pradesh,ICD NOIDA-DADRI,Philippines,0.125,0.67,536
01-05-2026,Natural Honey,4090000,Natural Honey,Gujarat,ICD SABARMATI,Angola,0.35,0.71,202.8571429
01-05-2026,Natural Honey,4090000,Natural Honey,Gujarat,ICD SABARMATI,Canada,0.016,0.16,1000
01-05-2026,Natural Honey,4090000,Natural Honey,Gujarat,ICD SABARMATI,Cayman Is,0.012,0.03,250
01-04-2026,Natural Honey,4090000,Natural Honey,Punjab,PLIL ICD,Cote D Ivoire,3.229,6.04,187.0548157
01-04-2026,Natural Honey,4090000,Natural Honey,Punjab,PLIL ICD,Nigeria,14.497,34.35,236.9455749
01-04-2026,Natural Honey,4090000,Natural Honey,Punjab,PLIL ICD,United States,691.2,999.03,144.5355903
01-04-2026,Natural Honey,4090000,Natural Honey,Punjab,HTPL KILARAIPUR ICD,United States,94.5,123.03,130.1904762
01-04-2026,Natural Honey,4090000,Natural Honey,Tamil Nadu,TUTICORIN SEA,Morocco,25.41,34.84,137.1113735
01-04-2026,Natural Honey,4090000,Natural Honey,Tamil Nadu,TUTICORIN SEA,Maldives,1.877,5.63,299.9467235
01-04-2026,Natural Honey,4090000,Natural Honey,Tamil Nadu,TUTICORIN SEA,United Arab Emirates,0.06,0.22,366.6666667
01-04-2026,Natural Honey,4090000,Natural Honey,Tamil Nadu,CHENNAI SEA,Malaysia,1.362,6.19,454.4787078
01-04-2026,Natural Honey,4090000,Natural Honey,Delhi,ICD CFS PATPARGANJ,Singapore,0.085,0.35,411.7647059
01-04-2026,Natural Honey,4090000,Natural Honey,Uttar Pradesh,ICD CFS STARTRACK DADRI,United Arab Emirates,48.18,62.43,129.5765878
01-04-2026,Natural Honey,4090000,Natural Honey,Uttar Pradesh,ICD CFS STARTRACK DADRI,United States,149.799,192.92,128.7859064
01-04-2026,Natural Honey,4090000,Natural Honey,Uttar Pradesh,ICD CGML DADRI,Algeria,4,20.63,515.75
01-04-2026,Natural Honey,4090000,Natural Honey,Uttar Pradesh,ICD CGML DADRI,Saudi Arabia,0.15,0.71,473.3333333
01-04-2026,Natural Honey,4090000,Natural Honey,Punjab,PLIL ICD,Oman,17.323,47.45,273.9132945
01-04-2026,Natural Honey,4090000,Natural Honey,Punjab,ICD CHOWPAYAL Punjab,Japan,7.5,23.26,310.1333333
01-04-2026,Natural Honey,4090000,Natural Honey,Punjab,ICD CHOWPAYAL Punjab,Kuwait,10.08,35.43,351.4880952
01-04-2026,Natural Honey,4090000,Natural Honey,Punjab,ICD CHOWPAYAL Punjab,Libya,156.45,224.15,143.2726111
01-04-2026,Natural Honey,4090000,Natural Honey,Punjab,ICD CHOWPAYAL Punjab,Morocco,101.64,158.91,156.3459268
01-04-2026,Natural Honey,4090000,Natural Honey,Punjab,ICD CHOWPAYAL Punjab,Poland,97.68,135.56,138.7796888
01-04-2026,Natural Honey,4090000,Natural Honey,Punjab,ICD CHOWPAYAL Punjab,United Arab Emirates,34.2,46.24,135.2046784
01-04-2026,Natural Honey,4090000,Natural Honey,Punjab,ICD CHOWPAYAL Punjab,United Kingdom,43.2,68.31,158.125
01-04-2026,Natural Honey,4090000,Natural Honey,Punjab,ICD CHOWPAYAL Punjab,United States,1409.263,2130.13,151.1520561
01-04-2026,Natural Honey,4090000,Natural Honey,Tamil Nadu,CHENNAI SEA,Singapore,0.295,1.07,362.7118644
01-04-2026,Natural Honey,4090000,Natural Honey,Tamil Nadu,CHENNAI SEA,Tanzania,0.035,0.11,314.2857143
01-04-2026,Natural Honey,4090000,Natural Honey,Rajasthan,ICD KANAKPURA,Libya,48,139.26,290.125
01-04-2026,Natural Honey,4090000,Natural Honey,Rajasthan,ICD KANAKPURA,United States,579,747.65,129.1278066
01-04-2026,Natural Honey,4090000,Natural Honey,Punjab,ICD LUDHIANA,Oman,13.326,26.25,196.9833408
01-04-2026,Natural Honey,4090000,Natural Honey,Punjab,ICD LUDHIANA,Saudi Arabia,107.626,198.76,184.6765651
01-04-2026,Natural Honey,4090000,Natural Honey,Uttar Pradesh,ICD MODINAGAR ICD,Australia,12.768,17.85,139.8026316
01-04-2026,Natural Honey,4090000,Natural Honey,Uttar Pradesh,ICD MODINAGAR ICD,United States,134.79,197.46,146.4945471
01-04-2026,Natural Honey,4090000,Natural Honey,Uttar Pradesh,ICD NOIDA-DADRI,Hong Kong (HK),0.081,0.34,419.7530864
01-04-2026,Natural Honey,4090000,Natural Honey,Uttar Pradesh,ICD NOIDA-DADRI,United States,192,248.64,129.5
01-04-2026,Natural Honey,4090000,Natural Honey,Haryana,"ICD PALWAL, BHAGOLA-JANAULI Haryana",Canada,57.5,84.83,147.5304348
01-04-2026,Natural Honey,4090000,Natural Honey,Haryana,"ICD PALWAL, BHAGOLA-JANAULI Haryana",United States,1413.555,2051.68,145.1432735
01-04-2026,Natural Honey,4090000,Natural Honey,Gujarat,ICD SABARMATI,Angola,0.35,0.71,202.8571429
01-04-2026,Natural Honey,4090000,Natural Honey,Gujarat,ICD SABARMATI,United States,0.331,2.37,716.0120846
01-04-2026,Natural Honey,4090000,Natural Honey,Punjab,"ICD SAHNEWAL, GRFL Punjab",Canada,16.692,21.62,129.5231249
01-04-2026,Natural Honey,4090000,Natural Honey,Punjab,"ICD SAHNEWAL, GRFL Punjab",Australia,13.08,18.47,141.2079511
01-04-2026,Natural Honey,4090000,Natural Honey,Gujarat,ICD SABARMATI,Philippines,0.24,1.07,445.8333333
01-04-2026,Natural Honey,4090000,Natural Honey,Punjab,"ICD SAHNEWAL, GRFL Punjab",Saudi Arabia,13.8,35.36,256.2318841
01-04-2026,Natural Honey,4090000,Natural Honey,Punjab,"ICD SAHNEWAL, GRFL Punjab",Somalia,17.069,22.72,133.1068018
01-04-2026,Natural Honey,4090000,Natural Honey,Punjab,"ICD SAHNEWAL, GRFL Punjab",United States,387.486,503.71,129.994374
01-04-2026,Natural Honey,4090000,Natural Honey,Haryana,ICD SAMALKHA PANIPAT Haryana,Netherlands,43.5,59.75,137.3563218
01-04-2026,Natural Honey,4090000,Natural Honey,Haryana,ICD SAMALKHA PANIPAT Haryana,Qatar,41.388,56.18,135.739828
01-04-2026,Natural Honey,4090000,Natural Honey,Haryana,ICD SAMALKHA PANIPAT Haryana,Saudi Arabia,277.05,552.16,199.2997654
01-04-2026,Natural Honey,4090000,Natural Honey,Haryana,ICD SAMALKHA PANIPAT Haryana,United Arab Emirates,63.94,83.23,130.1689084
01-04-2026,Natural Honey,4090000,Natural Honey,Haryana,ICD SAMALKHA PANIPAT Haryana,United States,192,247.56,128.9375
01-04-2026,Natural Honey,4090000,Natural Honey,Haryana,ICD SAMALKHA PANIPAT Haryana,United Kingdom,44.08,67.93,154.1061706
01-04-2026,Natural Honey,4090000,Natural Honey,Gujarat,ICD SABARMATI,Tanzania,0.35,0.42,120
01-04-2026,Natural Honey,4090000,Natural Honey,Haryana,ICD SONIPAT ICD,Barbados,9.63,17.57,182.450675
01-04-2026,Natural Honey,4090000,Natural Honey,Haryana,ICD SONIPAT ICD,Canada,58.956,123,208.6301649
01-04-2026,Natural Honey,4090000,Natural Honey,Haryana,ICD SONIPAT ICD,Israel,100,135.51,135.51
01-04-2026,Natural Honey,4090000,Natural Honey,Haryana,ICD SONIPAT ICD,Libya,41.664,54.38,130.5203533
01-04-2026,Natural Honey,4090000,Natural Honey,Haryana,ICD SONIPAT ICD,Nigeria,17.1,35.75,209.0643275
01-04-2026,Natural Honey,4090000,Natural Honey,Haryana,ICD SONIPAT ICD,United Kingdom,44.08,67.64,153.4482759
01-04-2026,Natural Honey,4090000,Natural Honey,Haryana,ICD SONIPAT ICD,United States,924.144,1276.38,138.1148392
01-04-2026,Natural Honey,4090000,Natural Honey,Gujarat,ICD THAR DRY PORT,Baharain,2.7,4.87,180.3703704
01-04-2026,Natural Honey,4090000,Natural Honey,West Bengal,JAIGAON ICD,Bhutan,0.786,2.45,311.7048346
01-04-2026,Natural Honey,4090000,Natural Honey,Haryana,KRIBHO INFRA LTD.ICD (HARYANA),United States,39.412,118.91,301.710139
01-04-2026,Natural Honey,4090000,Natural Honey,Kerala,COCHIN SEA,United States,0.01,0.17,1700
01-04-2026,Natural Honey,4090000,Natural Honey,Gujarat,MUNDRA SEA,Australia,0.102,0.35,343.1372549
01-04-2026,Natural Honey,4090000,Natural Honey,Delhi,DELHI (ICD),Japan,1.322,4.66,352.4962179
01-04-2026,Natural Honey,4090000,Natural Honey,Delhi,DELHI (ICD),Philippines,0.25,0.86,344
01-04-2026,Natural Honey,4090000,Natural Honey,Gujarat,MUNDRA SEA,Nigeria,1.002,4.16,415.1696607
01-04-2026,Natural Honey,4090000,Natural Honey,Delhi,DELHI (ICD),Saudi Arabia,96,201.02,209.3958333
